@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

breast-cancer,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,258,28,23,5,0,82.142857,17.857143,0,0.545455,0.24557,0.403898,59.275439,89.361913,24.187188,31.45313,-7.265942,0.863828,1.123326,-0.259498,9.284775,0.331599,38.387162,0.9,18,0.375,3,0.625,5,0.1,2,0.857143,0.9,0.878049,0.547723,0.809375,0.886183,0.821429,0.296429,0.703571,0.178571,0.816327,0.821429,0.817654,0.547723,0.809375,0.82569,0.772358,0.821429,0,0.001,0,0,0,0,33079,31246,6176,89.285714,69.642857,?
contact-lenses,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,21,3,2,1,0,66.666667,33.333333,0,0.5,0.197602,0.306999,44.460409,59.631623,5.526069,1.805119,3.72095,1.842023,0.601706,1.240317,3.72095,1.240317,67.334486,0,0,0,0,1,2,1,1,?,0,?,?,1,1,0.666667,0.166667,0.833333,0.333333,?,0.666667,?,?,1,1,?,0.666667,0,0,0,0,0,0,4821,3176,1934,100,55.555556,?
contact-lenses,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,21,3,3,0,0,100,0,0,1,0.228395,0.30032,51.388889,58.3342,5.526069,2.110477,3.415592,1.842023,0.703492,1.138531,3.415592,1.138531,61.808704,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4821,3176,1934,100,77.777778,?
contact-lenses,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,21,3,2,1,0,66.666667,33.333333,0,0.5,0.358025,0.431525,80.555556,83.819542,5.526069,3.969575,1.556494,1.842023,1.323192,0.518831,1.556494,0.518831,28.166381,1,1,0,0,1,2,0,0,1,1,1,1,1,1,0.666667,0.166667,0.833333,0.333333,?,0.666667,?,?,0.833333,0.777778,?,0.666667,0.001,0,0,0,0,0,4821,3176,1934,100,88.888889,?
contact-lenses,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,21,3,3,0,0,100,0,0,1,0.251242,0.343711,56.529374,66.762446,5.526069,2.378854,3.147215,1.842023,0.792951,1.049072,3.147215,1.049072,56.952146,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4821,3176,1934,100,66.666667,?
contact-lenses,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,1,1,0,50,50,0,0,0.271386,0.328826,92.518101,105.543361,1.673003,1.672771,0.000231,0.836501,0.836386,0.000116,0.040347,0.020174,2.411669,?,0,0,0,1,2,?,0,?,?,?,?,?,?,0.5,?,?,0.5,1,0.5,0.666667,?,?,1,0.666667,0.5,0,0,0,0,0,0,4890,3245,1865,100,83.333333,?
contact-lenses,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,2,0,0,100,0,0,1,0.076696,0.120475,26.14642,38.669029,1.673003,0.370209,1.302794,0.836501,0.185104,0.651397,1.302794,0.651397,77.871604,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4890,3245,1865,100,50,?
contact-lenses,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,2,0,0,100,0,0,1,0.076696,0.120475,26.14642,38.669029,1.673003,0.370209,1.302794,0.836501,0.185104,0.651397,1.302794,0.651397,77.871604,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4890,3245,1865,100,50,?
contact-lenses,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,2,0,0,100,0,0,1,0.175824,0.210997,59.94006,67.72367,1.673003,0.883411,0.789592,0.836501,0.441705,0.394796,0.789592,0.394796,47.196081,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0.001,0,0,0,0,0,4882,3245,1865,100,66.666667,?
contact-lenses,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,0,2,0,0,100,0,0,0.466077,0.514696,158.889783,165.202304,1.673003,3.624943,-1.95194,0.836501,1.812471,-0.97597,-1.307807,-0.653904,-78.17126,?,0,0.5,1,0.5,1,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,4890,3245,1865,100,100,?
contact-lenses,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,22,2,2,0,0,100,0,0,1,0.095238,0.149601,23.809524,32.389632,3.058894,0.473767,2.585127,1.529447,0.236883,1.292564,2.585127,1.292564,84.51183,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4882,3245,1865,100,50,?
german_credit,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,71,29,0,71,29,0,0.289216,0.290466,0.53792,69.129288,117.383771,88.129157,284.806148,-196.676991,0.881292,2.848061,-1.96677,22.802605,0.228026,25.874076,0.814286,57,0.533333,16,0.466667,14,0.185714,13,0.780822,0.814286,0.797203,0.290001,0.640476,0.765812,0.71,0.429048,0.570952,0.29,0.702131,0.71,0.70541,0.290001,0.640476,0.656661,0.644215,0.71,0.001,0.011,0,0,0,0,183804,181623,24023,71,50,?
german_credit,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,71,29,0,71,29,0,0.275,0.290466,0.53792,69.129288,117.383771,88.129157,284.806148,-196.676991,0.881292,2.848061,-1.96677,22.802605,0.228026,25.874076,0.828571,58,0.566667,17,0.433333,13,0.171429,12,0.773333,0.828571,0.8,0.277174,0.630952,0.760762,0.71,0.448095,0.551905,0.29,0.697333,0.71,0.701818,0.277174,0.630952,0.651133,0.636364,0.71,0.001,0.01,0,0,0,0,183804,181623,24023,71,50,?
german_credit,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,75,25,0,75,25,0,0.387255,0.250554,0.499447,59.630607,108.988132,88.129157,245.544615,-157.415458,0.881292,2.455446,-1.574155,31.791091,0.317911,36.073295,0.842857,59,0.466667,14,0.533333,16,0.157143,11,0.808219,0.842857,0.825175,0.388306,0.688095,0.791213,0.75,0.37381,0.62619,0.25,0.743531,0.75,0.746043,0.388306,0.688095,0.690664,0.693289,0.75,0.001,0.01,0,0,0,0,183804,181623,24023,75,50,?
german_credit,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,73,27,0,73,27,0,0.363208,0.27051,0.51904,64.379947,113.263769,88.129157,265.175382,-177.046224,0.881292,2.651754,-1.770462,27.296848,0.272968,30.973686,0.8,56,0.433333,13,0.566667,17,0.2,14,0.811594,0.8,0.805755,0.363309,0.683333,0.789275,0.73,0.363333,0.636667,0.27,0.732632,0.73,0.731242,0.363309,0.683333,0.684719,0.681566,0.73,0,0.011,0,0,0,0,183804,181623,24023,73,50,?
german_credit,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,65,35,0,65,35,0,0.142157,0.350333,0.590953,83.377309,128.956406,88.129157,343.698448,-255.569291,0.881292,3.436984,-2.555693,9.319877,0.093199,10.575248,0.771429,54,0.633333,19,0.366667,11,0.228571,16,0.739726,0.771429,0.755245,0.142543,0.569048,0.730646,0.65,0.511905,0.488095,0.35,0.64003,0.65,0.644461,0.142543,0.569048,0.613267,0.570605,0.65,0,0.011,0,0,0,0,183804,181623,24023,65,50,?
german_credit,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,73,27,0,73,27,0,0.363208,0.27051,0.51904,64.379947,113.263769,88.129157,265.175382,-177.046224,0.881292,2.651754,-1.770462,27.296848,0.272968,30.973686,0.8,56,0.433333,13,0.566667,17,0.2,14,0.811594,0.8,0.805755,0.363309,0.683333,0.789275,0.73,0.363333,0.636667,0.27,0.732632,0.73,0.731242,0.363309,0.683333,0.684719,0.681566,0.73,0.001,0.011,0,0,0,0,183804,181623,24023,73,50,?
german_credit,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,70,30,0,70,30,0,0.311927,0.300443,0.547116,71.503958,119.390468,88.129157,294.621532,-206.492374,0.881292,2.946215,-2.064924,20.555484,0.205555,23.324272,0.757143,53,0.433333,13,0.566667,17,0.242857,17,0.80303,0.757143,0.779412,0.313248,0.661905,0.778009,0.7,0.37619,0.62381,0.3,0.712121,0.7,0.704963,0.313248,0.661905,0.668606,0.655331,0.7,0,0.01,0,0.015625,0,15.625,183804,181623,24023,70,50,?
german_credit,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,76,24,0,76,24,0,0.428571,0.240576,0.489356,57.255937,106.786136,88.129157,235.729232,-147.600074,0.881292,2.357292,-1.476001,34.038212,0.340382,38.623099,0.828571,58,0.4,12,0.6,18,0.171429,12,0.828571,0.828571,0.828571,0.428571,0.714286,0.806531,0.76,0.331429,0.668571,0.24,0.76,0.76,0.76,0.428571,0.714286,0.708571,0.714286,0.76,0,0.01,0,0.015625,0,15.625,183804,181623,24023,76,50,?
german_credit,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200101.1949,900,100,72,28,0,72,28,0,0.333333,0.280488,0.528564,66.754617,115.342167,88.129157,274.990765,-186.861608,0.881292,2.749908,-1.868616,25.049727,0.250497,28.423881,0.8,56,0.466667,14,0.533333,16,0.2,14,0.8,0.8,0.8,0.333333,0.666667,0.78,0.72,0.386667,0.613333,0.28,0.72,0.72,0.72,0.333333,0.666667,0.673333,0.666667,0.72,0,0.01,0,0.015625,0,15.625,183804,181623,24023,72,50,?
