@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 27\nSize of the tree: 32\n','Number of leaves: 16\nSize of the tree: 19\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 40\nSize of the tree: 60\n','Number of leaves: 84\nSize of the tree: 125\n','Number of leaves: 81\nSize of the tree: 111\n','Number of leaves: 67\nSize of the tree: 94\n','Number of leaves: 81\nSize of the tree: 118\n','Number of leaves: 114\nSize of the tree: 152\n','Number of leaves: 92\nSize of the tree: 127\n','Number of leaves: 66\nSize of the tree: 96\n','Number of leaves: 121\nSize of the tree: 164\n','Number of leaves: 17\nSize of the tree: 33\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 64\nSize of the tree: 96\n','Number of leaves: 62\nSize of the tree: 95\n','Number of leaves: 58\nSize of the tree: 88\n','Number of leaves: 58\nSize of the tree: 89\n','Number of leaves: 66\nSize of the tree: 101\n','Number of leaves: 55\nSize of the tree: 84\n','Number of leaves: 69\nSize of the tree: 103\n','Number of leaves: 71\nSize of the tree: 106\n','Number of leaves: 55\nSize of the tree: 85\n','Number of leaves: 55\nSize of the tree: 86\n','Number of leaves: 1\nSize of the tree: 1\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureNumAttributesSelected numeric
@attribute measureSelectionTime numeric
@attribute measureTime numeric

@data

contact-lenses,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,21,3,2,1,0,66.666667,33.333333,0,0.5,0.266667,0.48074,60,93.37907,5.526069,1074.321928,-1068.795859,1.842023,358.107309,-356.265286,2.356144,0.785381,42.636889,1,1,0,0,1,2,0,0,1,1,1,1,1,1,0.666667,0.166667,0.833333,0.333333,?,0.666667,?,?,0.75,0.611111,?,0.666667,0,0,0,0,0,0,4645,3176,1934,66.666667,44.444444,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
contact-lenses,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,21,3,3,0,0,100,0,0,1,0.133333,0.210819,30,40.949431,5.526069,1.058894,4.467175,1.842023,0.352965,1.489058,4.467175,1.489058,80.83821,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4241,3176,1934,100,55.555556,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3,?,?,?,?,?
contact-lenses,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,1,1,0,50,50,0,0,0.266667,0.46188,90.909091,148.249863,1.673003,2.321928,-0.648926,0.836501,1.160964,-0.324463,-0.025995,-0.012998,-1.553806,?,0,0,0,1,2,?,0,?,?,?,?,?,?,0.5,?,?,0.5,1,0.5,0.666667,?,?,1,0.666667,0.5,0,0,0,0,0,0,4241,3245,1865,100,50,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3,?,?,?,?,?
contact-lenses,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673003,0,1.673003,0.836501,0,0.836501,1.673003,0.836501,100,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0.011,0,0.015625,0,15.625,4645,3245,1865,100,33.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
contact-lenses,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673003,0,1.673003,0.836501,0,0.836501,1.673003,0.836501,100,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4645,3245,1865,100,33.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
contact-lenses,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,2,0,0,100,0,0,1,0,0,0,0,1.673003,0,1.673003,0.836501,0,0.836501,1.673003,0.836501,100,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4645,3245,1865,100,33.333333,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
contact-lenses,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,0,2,0,0,100,0,0,0.6,0.739369,204.545455,237.315573,1.673003,1076.321928,-1074.648926,0.836501,538.160964,-537.324463,-2.046921,-1.023461,-122.350146,?,0,0.5,1,0.5,1,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,4241,3245,1865,50,50,'Number of leaves: 3\nSize of the tree: 5\n',5,3,3,?,?,?,?,?
contact-lenses,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,22,2,2,0,0,100,0,0,1,0.066667,0.11547,16.666667,25,3.058894,0.321928,2.736966,1.529447,0.160964,1.368483,2.736966,1.368483,89.475669,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4645,3245,1865,100,50,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4,?,?,?,?,?
german_credit,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,900,100,72,28,0,72,28,0,0.263158,0.317992,0.475221,75.680536,103.701751,88.129157,7586.073833,-7497.944675,0.881292,75.860738,-74.979447,19.652436,0.196524,22.299585,0.871429,61,0.633333,19,0.366667,11,0.128571,9,0.7625,0.871429,0.813333,0.272772,0.682143,0.797731,0.72,0.481905,0.518095,0.28,0.69875,0.72,0.701333,0.272772,0.682143,0.715743,0.626667,0.72,0.006,0,0.015625,0,15.625,0,28441,181623,24023,93,87.5,'Number of leaves: 85\nSize of the tree: 127\n',127,85,85,?,?,?,?,?
german_credit,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20191229.1705,900,100,64,36,0,64,36,0,0.052632,0.397902,0.514977,94.698585,112.377071,88.129157,5461.195234,-5373.066077,0.881292,54.611952,-53.730661,0.97363,0.009736,1.104776,0.814286,57,0.766667,23,0.233333,7,0.185714,13,0.7125,0.814286,0.76,0.054554,0.553333,0.734287,0.64,0.592381,0.407619,0.36,0.60375,0.64,0.616,0.054554,0.553333,0.613897,0.52,0.64,0.004,0,0,0,0,0,16523,181623,24023,95,95.5,'Number of leaves: 40\nSize of the tree: 60\n',60,40,40,?,?,?,?,?
