@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

breast-cancer,1,10,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,258,28,23,5,0,82.142857,17.857143,0,0.507042,0.318711,0.384983,76.930267,85.176984,24.187188,21.642657,2.544531,0.863828,0.772952,0.090876,2.375457,0.084838,9.821136,0.95,19,0.5,4,0.5,4,0.05,1,0.826087,0.95,0.883721,0.530791,0.83125,0.93694,0.821429,0.371429,0.628571,0.178571,0.818634,0.821429,0.807053,0.530791,0.83125,0.859483,0.749553,0.821429,0.005,0,0.015625,0,15.625,0,38235,31246,6176,100,100,?
contact-lenses,1,1,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,21,3,2,1,0,66.666667,33.333333,0,0.5,0.3097,0.401974,69.682477,78.079609,5.526069,3.514306,2.011763,1.842023,1.171435,0.670588,2.011763,0.670588,36.404956,0,0,0,0,1,2,1,1,?,0,?,?,1,1,0.666667,0.166667,0.833333,0.333333,?,0.666667,?,?,1,1,?,0.666667,0,0,0,0,0,0,4171,3176,1934,100,100,?
contact-lenses,1,2,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,21,3,1,2,0,33.333333,66.666667,0,0,0.350285,0.456127,78.814064,88.598113,5.526069,4.620504,0.905565,1.842023,1.540168,0.301855,1.04875,0.349583,18.978227,0,0,0,0,1,2,1,1,?,0,?,?,1,1,0.333333,0.333333,0.666667,0.666667,?,0.333333,?,?,1,1,?,0.333333,0,0,0,0,0,0,4171,3176,1934,100,100,?
contact-lenses,1,3,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,21,3,1,2,0,33.333333,66.666667,0,0,0.40855,0.500245,91.923705,97.167699,5.526069,5.762204,-0.236136,1.842023,1.920735,-0.078712,0.091917,0.030639,1.663339,0,0,0,0,1,2,1,1,?,0,?,?,0.75,0.5,0.333333,0.333333,0.666667,0.666667,?,0.333333,?,?,0.833333,0.666667,?,0.333333,0,0,0,0,0,0,4171,3176,1934,100,100,?
contact-lenses,1,4,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,21,3,1,2,0,33.333333,66.666667,0,0,0.361588,0.471109,81.357324,91.50822,5.526069,4.986741,0.539328,1.842023,1.662247,0.179776,0.569402,0.189801,10.303923,0,0,0,0,1,2,1,1,?,0,?,?,1,1,0.333333,0.333333,0.666667,0.666667,?,0.333333,?,?,0.833333,0.833333,?,0.333333,0,0,0,0,0,0,4171,3176,1934,100,100,?
contact-lenses,1,5,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.302093,0.352829,102.986366,113.247615,1.673003,2.167885,-0.494882,0.836501,1.083942,-0.247441,-0.356188,-0.178094,-21.290371,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
contact-lenses,1,6,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.08257,0.105703,28.148986,33.927465,1.673003,0.551555,1.121447,0.836501,0.275778,0.560724,1.121447,0.560724,67.032012,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
contact-lenses,1,7,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.156393,0.19097,53.315818,61.295694,1.673003,0.97633,0.696673,0.836501,0.488165,0.348336,0.696673,0.348336,41.642075,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
contact-lenses,1,8,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.152815,0.183967,52.096072,59.048014,1.673003,0.955252,0.717751,0.836501,0.477626,0.358875,0.717751,0.358875,42.901963,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
contact-lenses,1,9,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.253127,0.293143,86.293208,94.090119,1.673003,1.612667,0.060335,0.836501,0.806334,0.030168,0.049508,0.024754,2.959245,?,0,0,0,1,2,?,0,?,?,?,?,?,?,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
contact-lenses,1,10,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,22,2,2,0,0,100,0,0,1,0.223981,0.307228,55.995289,66.516761,3.058894,1.587876,1.471018,1.529447,0.793938,0.735509,1.471018,0.735509,48.089857,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,4274,3245,1865,100,100,?
german_credit,1,1,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,67,33,0,67,33,0,0.040698,0.392234,0.464229,93.349734,101.30295,88.129157,103.763801,-15.634644,0.881292,1.037638,-0.156346,-10.425994,-0.10426,-11.830357,0.9,63,0.866667,26,0.133333,4,0.1,7,0.707865,0.9,0.792453,0.04882,0.609762,0.824331,0.67,0.636667,0.363333,0.33,0.604597,0.67,0.613254,0.04882,0.608048,0.682832,0.493787,0.67,0.092,0.01,0.09375,0.015625,93.75,15.625,205304,181623,24023,100,100,?
german_credit,1,2,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,69,31,0,69,31,0,0.03125,0.388755,0.462593,92.521616,100.946117,88.129157,2245.986553,-2157.857396,0.881292,22.459866,-21.578574,-8.976109,-0.089761,-10.185176,0.957143,67,0.933333,28,0.066667,2,0.042857,3,0.705263,0.957143,0.812121,0.050063,0.59881,0.759246,0.69,0.66619,0.33381,0.31,0.613684,0.69,0.602771,0.050063,0.598095,0.64731,0.463203,0.69,0.092,0.011,0.09375,0,93.75,0,205304,181623,24023,100,100,?
german_credit,1,3,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,65,35,0,65,35,0,-0.041667,0.403378,0.476155,96.00182,103.905413,88.129157,1183.811178,-1095.682021,0.881292,11.838112,-10.95682,-13.028312,-0.130283,-14.783202,0.9,63,0.933333,28,0.066667,2,0.1,7,0.692308,0.9,0.782609,-0.053376,0.550952,0.744011,0.65,0.683333,0.316667,0.35,0.551282,0.65,0.578595,-0.053376,0.549238,0.61831,0.442586,0.65,0.092,0.01,0.09375,0,93.75,0,205304,181623,24023,100,100,?
german_credit,1,4,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,69,31,0,69,31,0,0.03125,0.394033,0.47057,93.777678,102.686736,88.129157,2249.297884,-2161.168726,0.881292,22.492979,-21.611687,-9.865685,-0.098657,-11.194575,0.957143,67,0.933333,28,0.066667,2,0.042857,3,0.705263,0.957143,0.812121,0.050063,0.557143,0.743603,0.69,0.66619,0.33381,0.31,0.613684,0.69,0.602771,0.050063,0.558929,0.630146,0.463203,0.69,0.092,0.011,0.09375,0.015625,93.75,15.625,205304,181623,24023,100,100,?
german_credit,1,5,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,67,33,0,67,33,0,-0.006098,0.391723,0.461279,93.227994,100.659297,88.129157,105.541113,-17.411955,0.881292,1.055411,-0.17412,-9.646702,-0.096467,-10.946096,0.928571,65,0.933333,28,0.066667,2,0.071429,5,0.698925,0.928571,0.797546,-0.008553,0.604286,0.793928,0.67,0.674762,0.325238,0.33,0.574962,0.67,0.590715,-0.008553,0.603143,0.662252,0.452827,0.67,0.091,0.011,0.09375,0.015625,93.75,15.625,205304,181623,24023,100,100,?
german_credit,1,6,weka.classifiers.lazy.XNNClassifier,'-K 3',4093840036403736411,20191230.1734,900,100,66,34,0,66,34,0,0,0.408143,0.473791,97.13581,103.389705,88.129157,1179.367812,-1091.238655,0.881292,11.793678,-10.912387,-13.736717,-0.137367,-15.587029,0.9,63,0.9,27,0.1,3,0.1,7,0.7,0.9,0.7875,0,0.547619,0.736988,0.66,0.66,0.34,0.34,0.58,0.66,0.59625,0,0.54819,0.615293,0.46875,0.66,0.091,0.01,0.078125,0.015625,78.125,15.625,205304,181623,24023,100,100,?
